Time,k,d,n_init,max_iter,seed,n_folds,total_correct,out_of,percent_correct,train_score_T,train_score_B,avg_correct_T,avg_correct_B,model,infolder,result_folder,
Sun Apr 15 01:58:02 2018,5,25,5,400,8888,5,81,151,53.59139785,-96963.81406,-107425.3597,54.66666667,52.5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152376803247,0.517821771
Sun Apr 15 02:12:34 2018,4,5,5,400,8888,5,96,151,63.61290323,-29603.4389,-29746.97246,60,67.33333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152374869854,0.651547751
Sun Apr 15 05:50:04 2018,5,5,5,400,8888,5,83,151,54.92473118,-28516.88928,-24303.61976,38.66666667,71.33333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152375810775,0.611865872
Sun Apr 15 06:03:01 2018,6,25,5,400,8888,5,84,151,55.52688172,-106674.2917,-118502.3396,56,55,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152377189432,0.540053985
Sun Apr 15 07:25:55 2018,6,25,5,400,8888,5,82,151,54.21505376,-84877.06767,-95769.73386,58.66666667,49.58333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152378610973,0.502290463
Sun Apr 15 09:00:59 2018,6,5,5,400,8888,5,86,151,57.05376344,-23943.72245,-21202.05867,41.33333333,72.58333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152376936256,0.629281046
Sun Apr 15 10:22:50 2018,4,5,5,400,9999,5,97,151,64.27956989,-29263.46357,-29746.97231,62.66666667,66,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152378688577,0.651277481
Sun Apr 15 10:24:55 2018,4,25,5,400,9999,5,82,151,54.27956989,-131045.7513,-143238.4984,53.33333333,55.08333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152379156591,0.540144561
Sun Apr 15 10:43:52 2018,4,5,5,400,9999,5,76,151,50.34408602,-10473.37316,-10274.72244,42.66666667,57.91666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152379728344,0.539574109
Sun Apr 15 11:20:50 2018,4,25,5,400,9999,5,76,151,50.27956989,-110284.6719,-123304.545,50.66666667,49.75,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152380218178,0.485684982
Sun Apr 15 12:17:13 2018,5,25,5,400,9999,5,72,151,47.67741935,-117538.661,-128220.2037,50.66666667,44.58333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152380349381,0.460756358
Sun Apr 15 13:18:42 2018,5,25,5,400,9999,5,81,151,53.61290323,-95397.73711,-109319.4194,58.66666667,48.5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152380903535,0.504110672
Sun Apr 15 14:55:15 2018,5,5,5,400,9999,5,100,151,66.30107527,5147.811261,5212.556121,68,64.58333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152380566727,0.66255291
Sun Apr 15 15:17:07 2018,6,5,5,400,8888,5,80,151,53.11827957,12429.27313,14757.28495,52,54.5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152377281346,0.518573296
Sun Apr 15 17:58:21 2018,6,25,5,400,9999,5,81,151,53.56989247,-106201.2615,-117696.0872,61.33333333,45.75,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/15238187685,0.490740741
Sun Apr 15 18:02:39 2018,5,5,5,400,9999,5,98,151,64.94623656,-28722.62146,-27803.17354,49.33333333,80.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152380229884,0.69564733
Sun Apr 15 19:27:08 2018,6,25,5,400,9999,5,78,151,51.5483871,-84506.90979,-96237.55041,50.66666667,52.16666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152382970708,0.503149024
Sun Apr 15 21:03:12 2018,6,5,5,400,9999,5,84,151,55.6344086,-28273.28743,-21271.49555,22.66666667,88.33333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152381309434,0.666553815
Sun Apr 15 21:03:23 2018,4,5,5,400,1111,5,77,151,50.98924731,-10869.59004,-10851.95447,41.33333333,60.66666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152383487249,0.543701997
Mon Apr 16 00:00:27 2018,5,25,5,400,1111,5,87,151,57.59139785,-116266.8303,-132131.9136,65.33333333,49.75,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152384078767,0.532577834
Mon Apr 16 01:25:56 2018,5,5,5,400,0,5,96,151,63.6344086,-28412.10047,-27643.62277,57.33333333,69.58333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152383007372,0.659036426
